Backlog ID,Work Item ID,Summary,Issue Type,Description,Priority,Story Points,Status,Component,Labels,Epic Name,Parent Epic,Parent,Phase,Target Release,Target Sprint
REAL-E02,REAL-E02,Production Treasury Rails,Epic,Move from sandboxed and simulated rails to live treasury operations.,High,,Backlog,Integrations,"phase:real-app, component:integrations, type:epic, priority:p1",REAL-E02 Production Treasury Rails,,,Real App,Real App,R2-R5
REAL-S05,REAL-S05,Integrate live AMINA banking flows,Story,Promote the bank adapter from sandbox experimentation to production-grade integration.,High,8,To Do,Integrations,"phase:real-app, component:integrations, type:story, priority:p1",,REAL-E02 Production Treasury Rails,REAL-E02,Real App,Real App,R2
REAL-S06,REAL-S06,Integrate live SWIFT settlement flows,Story,Add production-grade SWIFT connectivity and message processing.,High,8,To Do,Integrations,"phase:real-app, component:integrations, type:story, priority:p1",,REAL-E02 Production Treasury Rails,REAL-E02,Real App,Real App,R3
REAL-S07,REAL-S07,"Implement custody, HSM, or KMS signing strategy",Story,Formalize secure key management for sensitive transaction operations.,Highest,8,To Do,Security,"phase:real-app, component:security, type:story, priority:p0",,REAL-E02 Production Treasury Rails,REAL-E02,Real App,Real App,R4
REAL-S08,REAL-S08,Build payment reconciliation engine,Story,Track treasury movement outcomes and reconcile internal state with external rails.,High,8,To Do,Reporting,"phase:real-app, component:reporting, type:story, priority:p1",,REAL-E02 Production Treasury Rails,REAL-E02,Real App,Real App,R5
REAL-E03,REAL-E03,Compliance Network Expansion,Epic,Expand beyond the narrow MVP jurisdiction and compliance controls.,High,,Backlog,Compliance,"phase:real-app, component:compliance, type:epic, priority:p1",REAL-E03 Compliance Network Expansion,,,Real App,Real App,R3-R6
REAL-S09,REAL-S09,Integrate Travel Rule network partner,Story,Support regulated travel rule data exchange for relevant transfers.,High,8,To Do,Compliance,"phase:real-app, component:compliance, type:story, priority:p1",,REAL-E03 Compliance Network Expansion,REAL-E03,Real App,Real App,R3
REAL-S10,REAL-S10,Automate sanctions screening and list refresh,Story,Move from basic/manual controls to provider-backed screening operations.,High,8,To Do,Compliance,"phase:real-app, component:compliance, type:story, priority:p1",,REAL-E03 Compliance Network Expansion,REAL-E03,Real App,Real App,R4
REAL-S11,REAL-S11,"Add jurisdiction rule packs for EU, CH, UAE, and US",Story,Represent real market expansion in configurable rule packages.,High,8,To Do,Compliance Rules,"phase:real-app, component:compliance-rules, type:story, priority:p1",,REAL-E03 Compliance Network Expansion,REAL-E03,Real App,Real App,R5
REAL-S12,REAL-S12,"Add data retention, deletion, and residency controls",Story,Prepare the system for real compliance and privacy obligations across markets.,High,5,To Do,Compliance,"phase:real-app, component:compliance, type:story, priority:p1",,REAL-E03 Compliance Network Expansion,REAL-E03,Real App,Real App,R6
REAL-E04,REAL-E04,Security & Governance,Epic,Raise the platform to enterprise security and governance expectations.,Highest,,Backlog,Security,"phase:real-app, component:security, type:epic, priority:p0",REAL-E04 Security & Governance,,,Real App,Real App,R4-R7
REAL-S13,REAL-S13,Run external smart contract audit and remediate findings,Story,Subject on-chain programs to formal external review before significant production use.,Highest,8,To Do,Solana,"phase:real-app, component:solana, type:story, priority:p0",,REAL-E04 Security & Governance,REAL-E04,Real App,Real App,R4
REAL-S14,REAL-S14,Run infrastructure and application security audit,Story,Review the off-chain system with external or dedicated internal security effort.,Highest,8,To Do,Security,"phase:real-app, component:security, type:story, priority:p0",,REAL-E04 Security & Governance,REAL-E04,Real App,Real App,R5
REAL-S15,REAL-S15,Implement multisig and upgrade governance for programs and admin actions,Story,Reduce single-key and single-actor risk for critical changes.,Highest,8,To Do,Governance,"phase:real-app, component:governance, type:story, priority:p0",,REAL-E04 Security & Governance,REAL-E04,Real App,Real App,R6
REAL-S16,REAL-S16,Run disaster recovery and incident response drills,Story,Validate that the team can recover the platform under stress.,High,5,To Do,Operations,"phase:real-app, component:operations, type:story, priority:p1",,REAL-E04 Security & Governance,REAL-E04,Real App,Real App,R7
REAL-E05,REAL-E05,Commercialization & Customer Operations,Epic,Move from founder-led pilot selling to a repeatable commercial product motion.,Medium,,Backlog,Commercial,"phase:real-app, component:commercial, type:epic, priority:p2",REAL-E05 Commercialization & Customer Operations,,,Real App,Real App,R5-R8
REAL-S17,REAL-S17,"Implement pricing, billing, and invoicing",Story,Support real contracts and monetization with product-backed billing data.,Medium,8,To Do,Billing,"phase:real-app, component:billing, type:story, priority:p2",,REAL-E05 Commercialization & Customer Operations,REAL-E05,Real App,Real App,R5
REAL-S18,REAL-S18,Build contract and compliance document packs,Story,"Package security, legal, and compliance materials required in enterprise sales cycles.",Medium,5,To Do,Commercial,"phase:real-app, component:commercial, type:story, priority:p2",,REAL-E05 Commercialization & Customer Operations,REAL-E05,Real App,Real App,R6
REAL-S19,REAL-S19,Establish customer support SLA and customer success operations,Story,Move support from ad hoc founder work to an operating model.,Medium,5,To Do,Commercial,"phase:real-app, component:commercial, type:story, priority:p2",,REAL-E05 Commercialization & Customer Operations,REAL-E05,Real App,Real App,R7
REAL-S20,REAL-S20,Create customer onboarding portal and guided setup,Story,Reduce time to value for new customers joining the platform.,Medium,8,To Do,Commercial,"phase:real-app, component:commercial, type:story, priority:p2",,REAL-E05 Commercialization & Customer Operations,REAL-E05,Real App,Real App,R8
REAL-E06,REAL-E06,Production Launch Operations,Epic,Create the operational discipline required for a real application launch.,High,,Backlog,Release,"phase:real-app, component:release, type:epic, priority:p1",REAL-E06 Production Launch Operations,,,Real App,Real App,R6-R9
REAL-S21,REAL-S21,Harden production environment and networking,Story,Move from beta-grade infrastructure to production-grade architecture and controls.,High,8,To Do,DevOps,"phase:real-app, component:devops, type:story, priority:p1",,REAL-E06 Production Launch Operations,REAL-E06,Real App,Real App,R6
REAL-S22,REAL-S22,"Establish SLO, SLA, on-call, and error budgets",Story,Define what reliable service means and how the team will operate it.,High,5,To Do,Operations,"phase:real-app, component:operations, type:story, priority:p1",,REAL-E06 Production Launch Operations,REAL-E06,Real App,Real App,R7
REAL-S23,REAL-S23,Build release train and change management process,Story,Create predictable release cadence and governance around production changes.,Medium,5,To Do,Release,"phase:real-app, component:release, type:story, priority:p2",,REAL-E06 Production Launch Operations,REAL-E06,Real App,Real App,R8
REAL-S24,REAL-S24,Run final launch readiness review,Story,Make the decision to market the product as a real application based on evidence.,Highest,3,To Do,Release,"phase:real-app, component:release, type:story, priority:p0",,REAL-E06 Production Launch Operations,REAL-E06,Real App,Real App,R9
